bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
pg16345-1,0.0242,0.1579,0.0962,0.0777,0.0325,0.0242,0.0332,0.0725,0.0334,0.0014,0.0077,0.0026,0.0137,0.1174,-0.0382,0.0208,0.3448,0.3103,0.3448,0.7182,-0.1202,0.2123
pg6295-8,0.0127,0.3321,0.0582,0.0839,0.0227,0.0286,0.0446,0.0612,0.0488,0.0008,0.0026,0.0064,0.0037,0.1156,-0.0477,0.0121,0.1935,0.1290,0.6774,0.7901,-0.0469,-0.4061
pg6295-9,0.0209,0.2584,0.1584,0.0941,0.0251,0.0285,0.0339,0.0521,0.0506,0.0022,0.0026,0.0095,0.0068,0.1002,-0.0716,0.0217,0.3103,0.2414,0.4483,0.7988,-0.0469,-0.4061
pg12CarolGlassLook-3,0.0261,0.2107,0.1456,0.0888,0.0156,0.0266,0.0277,0.0623,0.0401,0.0059,0.0008,0.0099,0.0124,0.1066,-0.0566,0.0039,0.6364,0.0909,0.2727,0.8235,-0.1117,-1.7593
pg6295-6,0.0130,0.2025,0.2322,0.1065,0.0313,0.0305,0.0389,0.0614,0.0452,0.0012,0.0053,0.0088,0.0045,0.1156,-0.0365,0.0156,0.2258,0.1290,0.6452,0.8063,-0.0469,-0.4061
pg12CarolGlassLook-4,0.0259,0.0474,0.2774,0.0825,0.0154,0.0252,0.0339,0.0625,0.0332,0.0064,0.0032,0.0125,0.0145,0.1186,-0.0503,0.0014,0.4242,0.2121,0.3636,0.8224,-0.1117,-1.7593
pg6295-7,0.0177,0.2847,0.1569,0.0960,0.0315,0.0260,0.0354,0.0592,0.0492,0.0013,0.0049,0.0070,0.0057,0.1078,-0.0765,0.0190,0.2258,0.2581,0.5161,0.7927,-0.0469,-0.4061
pg141JaneAusMansPark-8,0.0084,0.3052,0.2197,0.0678,0.0328,0.0258,0.0400,0.0622,0.0307,0.0019,0.0116,0.0032,0.0020,0.1189,0.1317,0.0068,0.0556,0.1111,0.8333,0.5750,-0.0182,-0.3451
pg141JaneAusMansPark-9,0.0123,0.1373,0.2507,0.0784,0.0265,0.0252,0.0410,0.0662,0.0304,0.0007,0.0110,0.0035,0.0073,0.1224,0.0597,0.0143,0.0000,0.0588,0.9412,0.6647,-0.0182,-0.3451
pg32692-17,0.0141,0.1550,0.0613,0.0915,0.0227,0.0248,0.0394,0.0754,0.0303,0.0005,0.0076,0.0044,0.0060,0.1273,0.0518,0.0147,0.1000,0.1500,0.7500,0.6685,0.2039,1.2779
pg32692-18,0.0169,0.1773,0.0653,0.0964,0.0247,0.0250,0.0378,0.0774,0.0300,0.0003,0.0089,0.0054,0.0063,0.1298,0.0737,0.0170,0.1429,0.1429,0.7143,0.6888,0.2039,1.2779
pg32692-15,0.0132,0.1846,0.0436,0.0832,0.0246,0.0285,0.0382,0.0788,0.0264,0.0005,0.0081,0.0065,0.0053,0.1321,0.1067,0.0154,0.1667,0.1111,0.7222,0.6330,0.2039,1.2779
pg32692-16,0.0122,0.1434,0.0359,0.0744,0.0260,0.0236,0.0402,0.0763,0.0264,0.0009,0.0064,0.0051,0.0035,0.1289,0.1402,0.0137,0.1176,0.1176,0.7647,0.5679,0.2039,1.2779
pg141JaneAusMansPark-2,0.0099,0.1871,0.2576,0.0709,0.0312,0.0271,0.0373,0.0606,0.0328,0.0022,0.0127,0.0029,0.0045,0.1157,0.0875,0.0090,0.2778,0.1667,0.5556,0.6267,-0.0182,-0.3451
pg32692-13,0.0144,0.1775,0.0308,0.0901,0.0237,0.0265,0.0366,0.0768,0.0279,0.0007,0.0084,0.0050,0.0062,0.1275,0.0853,0.0168,0.1500,0.1000,0.7500,0.6655,0.2039,1.2779
pg141JaneAusMansPark-3,0.0124,0.1238,0.2419,0.0766,0.0284,0.0243,0.0387,0.0686,0.0314,0.0029,0.0153,0.0014,0.0037,0.1269,0.0957,0.0137,0.1667,0.2222,0.6111,0.6720,-0.0182,-0.3451
pg32692-14,0.0143,0.1555,0.0493,0.0926,0.0251,0.0251,0.0341,0.0808,0.0257,0.0001,0.0092,0.0055,0.0044,0.1297,0.1475,0.0194,0.0526,0.2105,0.7368,0.6457,0.2039,1.2779
pg32692-11,0.0105,0.1402,0.0907,0.0804,0.0266,0.0275,0.0428,0.0752,0.0267,0.0007,0.0076,0.0043,0.0042,0.1306,0.1289,0.0101,0.1579,0.1053,0.7368,0.6309,0.2039,1.2779
pg141JaneAusMansPark-1,0.0093,0.1110,0.3495,0.0720,0.0370,0.0227,0.0447,0.0706,0.0267,0.0018,0.0119,0.0019,0.0031,0.1309,0.1860,0.0087,0.0000,0.3125,0.6875,0.5774,-0.0182,-0.3451
