bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
pg30817-3,0.0319,0.2402,0.2972,0.1170,0.0287,0.0201,0.0364,0.0544,0.0535,0.0011,0.0034,0.0049,0.0114,0.1002,-0.0960,0.0251,0.4000,0.2222,0.3778,0.8296,-0.1032,-1.1811
pg30817-4,0.0324,0.2286,0.2739,0.1117,0.0252,0.0241,0.0344,0.0519,0.0505,0.0015,0.0023,0.0055,0.0096,0.0956,-0.0910,0.0270,0.2444,0.2667,0.4889,0.8133,-0.1032,-1.1811
pg30817-5,0.0356,0.2546,0.4151,0.1019,0.0353,0.0277,0.0331,0.0485,0.0521,0.0013,0.0024,0.0062,0.0102,0.0916,-0.0965,0.0203,0.3111,0.3111,0.3778,0.8005,-0.1032,-1.1811
pg2684Galsw4-5,0.0266,0.4748,0.0843,0.0767,0.0265,0.0223,0.0308,0.0493,0.0412,0.0098,0.0079,0.0127,0.0245,0.1105,-0.1072,0.0201,0.1935,0.2258,0.5806,0.7673,0.0233,-0.1521
pg2684Galsw4-4,0.0234,0.3510,0.1071,0.0730,0.0344,0.0263,0.0279,0.0540,0.0450,0.0078,0.0075,0.0085,0.0183,0.1057,-0.0964,0.0168,0.3939,0.1515,0.4545,0.7838,0.0233,-0.1521
pg2684Galsw4-7,0.0276,0.3596,0.1987,0.0646,0.0280,0.0270,0.0359,0.0678,0.0413,0.0035,0.0091,0.0059,0.0154,0.1222,-0.0738,0.0211,0.3438,0.1250,0.5313,0.8031,0.0233,-0.1521
pg30817-1,0.0378,0.1556,0.3692,0.1077,0.0253,0.0209,0.0267,0.0431,0.0592,0.0024,0.0040,0.0091,0.0131,0.0853,-0.1300,0.0305,0.5333,0.1778,0.2889,0.8330,-0.1032,-1.1811
pg2684Galsw4-6,0.0234,0.4620,0.0526,0.0776,0.0289,0.0241,0.0312,0.0565,0.0409,0.0066,0.0078,0.0128,0.0229,0.1149,-0.0983,0.0190,0.3548,0.0968,0.5484,0.8152,0.0233,-0.1521
pg30817-2,0.0307,0.2290,0.3442,0.1129,0.0312,0.0228,0.0326,0.0439,0.0549,0.0013,0.0014,0.0053,0.0107,0.0845,-0.1113,0.0228,0.3333,0.3556,0.3111,0.8298,-0.1032,-1.1811
pg2684Galsw4-1,0.0322,0.4385,0.1241,0.0755,0.0228,0.0266,0.0276,0.0528,0.0430,0.0057,0.0085,0.0113,0.0201,0.1059,-0.1193,0.0266,0.3125,0.0938,0.5938,0.8141,0.0233,-0.1521
pg2684Galsw4-3,0.0219,0.4148,0.0606,0.0753,0.0286,0.0267,0.0325,0.0526,0.0426,0.0062,0.0103,0.0079,0.0185,0.1095,-0.0926,0.0188,0.3636,0.3030,0.3333,0.7893,0.0233,-0.1521
pg2684Galsw4-2,0.0150,0.5148,0.1424,0.0721,0.0262,0.0310,0.0314,0.0553,0.0443,0.0043,0.0091,0.0056,0.0145,0.1057,-0.0812,0.0103,0.4375,0.0938,0.4688,0.7779,0.0233,-0.1521
pg34609-9,0.0282,0.3259,0.1013,0.0833,0.0204,0.0225,0.0344,0.0821,0.0419,0.0002,0.0078,0.0038,0.0097,0.1283,-0.0336,0.0271,0.4138,0.1724,0.4138,0.7895,-0.0543,-0.8036
pg34609-8,0.0286,0.3620,0.0780,0.0767,0.0233,0.0224,0.0345,0.0863,0.0427,0.0001,0.0079,0.0029,0.0106,0.1317,-0.0461,0.0260,0.1724,0.3103,0.5172,0.7957,-0.0543,-0.8036
pg34609-7,0.0302,0.2340,0.2301,0.0756,0.0261,0.0219,0.0390,0.0774,0.0402,0.0003,0.0096,0.0057,0.0074,0.1320,-0.0147,0.0241,0.0714,0.1071,0.8214,0.7852,-0.0543,-0.8036
pg34609-6,0.0284,0.2912,0.0633,0.0844,0.0231,0.0198,0.0339,0.0828,0.0442,0.0004,0.0090,0.0051,0.0113,0.1312,-0.0514,0.0271,0.4194,0.1935,0.3871,0.8079,-0.0543,-0.8036
pg22476-1,0.0110,0.2634,0.0508,0.0921,0.0253,0.0266,0.0318,0.0606,0.0400,0.0011,0.0071,0.0036,0.0036,0.1042,-0.0007,0.0108,0.0667,0.2000,0.7333,0.6939,-0.1021,0.4827
pg34609-1,0.0325,0.1756,0.1353,0.0730,0.0238,0.0196,0.0315,0.0805,0.0464,0.0006,0.0078,0.0067,0.0120,0.1271,-0.0778,0.0343,0.3548,0.1613,0.4839,0.8156,-0.0543,-0.8036
pg15382-10,0.0222,0.2746,0.1503,0.0933,0.0263,0.0217,0.0324,0.0591,0.0549,0.0000,0.0003,0.0001,0.0048,0.0919,-0.0882,0.0227,0.2778,0.1389,0.5833,0.7925,-0.0820,-1.0895
pg34609-5,0.0318,0.3502,0.0843,0.0829,0.0179,0.0232,0.0340,0.0764,0.0424,0.0006,0.0079,0.0052,0.0102,0.1241,-0.0571,0.0293,0.3548,0.1935,0.4516,0.8167,-0.0543,-0.8036
pg34609-4,0.0363,0.2129,0.0990,0.0851,0.0220,0.0217,0.0342,0.0795,0.0497,0.0005,0.0067,0.0047,0.0104,0.1256,-0.0898,0.0354,0.4483,0.1379,0.4138,0.8556,-0.0543,-0.8036
pg34609-3,0.0257,0.2058,0.1894,0.0827,0.0271,0.0229,0.0333,0.0794,0.0436,0.0009,0.0076,0.0071,0.0110,0.1283,-0.0493,0.0262,0.3103,0.1034,0.5862,0.8202,-0.0543,-0.8036
pg34609-2,0.0338,0.3077,0.0919,0.0841,0.0225,0.0196,0.0347,0.0843,0.0491,0.0006,0.0078,0.0052,0.0127,0.1326,-0.0769,0.0341,0.0968,0.3226,0.5806,0.8117,-0.0543,-0.8036
pg1190-1,0.0058,0.4880,0.1017,0.0823,0.0259,0.0293,0.0299,0.0740,0.0235,0.0016,0.0093,0.0111,0.0039,0.1259,0.2249,0.0094,0.0400,0.2400,0.7200,0.5560,-0.1277,0.5325
pg36360-1,0.0254,0.2469,0.3210,0.0574,0.0398,0.0213,0.0325,0.0793,0.0371,0.0009,0.0075,0.0049,0.0072,0.1251,0.0043,0.0174,0.2800,0.2800,0.4400,0.6427,0.0116,0.3797
pg1190-2,0.0092,0.5169,0.0712,0.0935,0.0273,0.0279,0.0307,0.0733,0.0290,0.0016,0.0085,0.0164,0.0047,0.1304,0.0948,0.0116,0.1852,0.3333,0.4815,0.6739,-0.1277,0.5325
pg10379-6,0.0214,0.2661,0.2997,0.1023,0.0285,0.0241,0.0415,0.0571,0.0359,0.0031,0.0115,0.0100,0.0085,0.1232,0.0043,0.0173,0.2222,0.1481,0.6296,0.7850,-0.0182,-0.4384
pg42807-2,0.0178,0.3670,0.1480,0.0933,0.0236,0.0290,0.0237,0.0625,0.0405,0.0008,0.0019,0.0006,0.0016,0.0895,0.0043,0.0202,0.3871,0.2581,0.3548,0.6965,-0.0373,-0.4783
pg10379-7,0.0242,0.2251,0.2052,0.1155,0.0302,0.0214,0.0299,0.0620,0.0424,0.0028,0.0082,0.0150,0.0150,0.1179,-0.0688,0.0236,0.1923,0.2692,0.5385,0.8185,-0.0182,-0.4384
pg42807-1,0.0136,0.2739,0.1445,0.0862,0.0259,0.0278,0.0253,0.0619,0.0394,0.0006,0.0025,0.0016,0.0017,0.0919,0.0058,0.0165,0.1667,0.2333,0.6000,0.6785,-0.0373,-0.4783
pg10379-8,0.0237,0.2316,0.2111,0.1187,0.0324,0.0233,0.0360,0.0646,0.0386,0.0029,0.0078,0.0142,0.0130,0.1255,-0.0561,0.0218,0.3077,0.3846,0.3077,0.8235,-0.0182,-0.4384
pg32439-1,0.0181,0.2653,0.1619,0.0856,0.0305,0.0284,0.0370,0.0593,0.0333,0.0018,0.0047,0.0037,0.0040,0.1065,0.0577,0.0147,0.2353,0.1176,0.6471,0.6365,-0.1128,-0.1558
pg10379-9,0.0224,0.2383,0.1910,0.1006,0.0324,0.0235,0.0360,0.0651,0.0370,0.0024,0.0079,0.0143,0.0135,0.1257,-0.0439,0.0223,0.4231,0.1923,0.3846,0.7978,-0.0182,-0.4384
pg32439-2,0.0140,0.2845,0.1456,0.0782,0.0373,0.0293,0.0394,0.0593,0.0300,0.0012,0.0036,0.0040,0.0016,0.1075,0.1306,0.0087,0.2059,0.1765,0.6176,0.6419,-0.1128,-0.1558
pg10379-2,0.0142,0.2829,0.2498,0.0835,0.0250,0.0288,0.0416,0.0655,0.0336,0.0012,0.0132,0.0047,0.0054,0.1262,0.0721,0.0133,0.1538,0.3462,0.5000,0.7096,-0.0182,-0.4384
pg36360-7,0.0327,0.1851,0.3900,0.0639,0.0366,0.0231,0.0293,0.0638,0.0407,0.0015,0.0082,0.0050,0.0098,0.1078,-0.0461,0.0163,0.3200,0.1600,0.5200,0.7361,0.0116,0.3797
pg10379-3,0.0203,0.2535,0.0994,0.0975,0.0252,0.0234,0.0352,0.0626,0.0397,0.0024,0.0108,0.0150,0.0105,0.1260,-0.0275,0.0194,0.3043,0.0870,0.6087,0.7613,-0.0182,-0.4384
pg36360-6,0.0275,0.2446,0.2274,0.0786,0.0375,0.0248,0.0317,0.0652,0.0330,0.0016,0.0050,0.0037,0.0068,0.1072,0.0159,0.0203,0.2000,0.1200,0.6800,0.6555,0.0116,0.3797
pg10379-4,0.0261,0.2582,0.1134,0.1031,0.0212,0.0238,0.0357,0.0596,0.0476,0.0024,0.0088,0.0120,0.0090,0.1185,-0.0724,0.0253,0.1852,0.3704,0.4444,0.8110,-0.0182,-0.4384
pg36360-9,0.0248,0.3184,0.0942,0.0804,0.0289,0.0232,0.0311,0.0687,0.0335,0.0009,0.0125,0.0050,0.0087,0.1182,0.0096,0.0163,0.2000,0.1000,0.7000,0.6881,0.0116,0.3797
pg10379-5,0.0239,0.2780,0.1031,0.0865,0.0250,0.0232,0.0361,0.0614,0.0397,0.0028,0.0096,0.0107,0.0130,0.1206,-0.0428,0.0229,0.1852,0.2593,0.5556,0.7499,-0.0182,-0.4384
pg36360-8,0.0258,0.3120,0.2519,0.0684,0.0364,0.0255,0.0393,0.0692,0.0346,0.0008,0.0080,0.0032,0.0052,0.1205,0.0249,0.0138,0.3462,0.1538,0.5000,0.6455,0.0116,0.3797
pg36360-3,0.0274,0.3124,0.1614,0.0596,0.0377,0.0236,0.0331,0.0755,0.0377,0.0001,0.0043,0.0047,0.0095,0.1177,-0.0365,0.0190,0.4400,0.0800,0.4800,0.6844,0.0116,0.3797
pg36360-2,0.0289,0.2721,0.1860,0.0614,0.0327,0.0245,0.0323,0.0703,0.0409,0.0003,0.0049,0.0059,0.0101,0.1137,-0.0556,0.0196,0.3200,0.2000,0.4800,0.6734,0.0116,0.3797
pg36360-5,0.0251,0.2182,0.1773,0.0852,0.0344,0.0225,0.0279,0.0601,0.0326,0.0009,0.0082,0.0045,0.0064,0.1016,0.0081,0.0214,0.3077,0.0769,0.6154,0.6707,0.0116,0.3797
pg10379-1,0.0131,0.2607,0.1769,0.0755,0.0223,0.0266,0.0421,0.0638,0.0281,0.0018,0.0132,0.0052,0.0040,0.1261,0.1446,0.0124,0.0870,0.1304,0.7826,0.6593,-0.0182,-0.4384
pg36360-4,0.0265,0.1318,0.2937,0.0773,0.0388,0.0242,0.0335,0.0695,0.0342,0.0004,0.0056,0.0030,0.0061,0.1120,0.0014,0.0208,0.1538,0.2692,0.5769,0.7045,0.0116,0.3797
pg42807-6,0.0171,0.3883,0.0266,0.0915,0.0213,0.0287,0.0258,0.0622,0.0426,0.0004,0.0010,0.0012,0.0021,0.0906,-0.0154,0.0197,0.3226,0.0323,0.6452,0.6956,-0.0373,-0.4783
pg42807-5,0.0189,0.2792,0.0835,0.1076,0.0242,0.0253,0.0225,0.0717,0.0426,0.0005,0.0020,0.0006,0.0029,0.0973,-0.0193,0.0228,0.1935,0.1613,0.6452,0.7375,-0.0373,-0.4783
pg42807-4,0.0185,0.3253,0.0958,0.0928,0.0231,0.0298,0.0220,0.0627,0.0414,0.0002,0.0024,0.0001,0.0016,0.0874,-0.0065,0.0214,0.2258,0.1613,0.6129,0.6877,-0.0373,-0.4783
pg42807-3,0.0211,0.2436,0.1475,0.1080,0.0242,0.0261,0.0249,0.0597,0.0469,0.0009,0.0018,0.0006,0.0026,0.0879,-0.0601,0.0270,0.2258,0.2258,0.5484,0.7593,-0.0373,-0.4783
pg14145-2,0.0122,0.2737,0.1667,0.0609,0.0213,0.0316,0.0429,0.0509,0.0399,0.0014,0.0047,0.0069,0.0041,0.1068,0.0104,0.0121,0.2941,0.3529,0.3529,0.6309,0.0381,-0.6584
pg14145-1,0.0135,0.3362,0.0965,0.0742,0.0201,0.0306,0.0443,0.0582,0.0444,0.0014,0.0060,0.0077,0.0098,0.1176,-0.0466,0.0121,0.3514,0.1351,0.5135,0.7006,0.0381,-0.6584
pg14145-4,0.0229,0.3347,0.0911,0.1010,0.0242,0.0246,0.0285,0.0456,0.0650,0.0013,0.0025,0.0083,0.0094,0.0862,-0.1422,0.0231,0.4054,0.1622,0.4324,0.7922,0.0381,-0.6584
pg14145-3,0.0156,0.2925,0.1879,0.0744,0.0251,0.0275,0.0422,0.0558,0.0434,0.0008,0.0050,0.0057,0.0098,0.1095,-0.0535,0.0167,0.3514,0.1622,0.4865,0.7155,0.0381,-0.6584
pg42807-7,0.0158,0.4306,0.0819,0.0724,0.0207,0.0291,0.0278,0.0608,0.0439,0.0002,0.0003,0.0028,0.0014,0.0919,-0.0062,0.0162,0.2258,0.1613,0.6129,0.6448,-0.0373,-0.4783
pg41764-6,0.0166,0.3784,0.2251,0.0921,0.0355,0.0258,0.0368,0.0483,0.0330,0.0001,0.0067,0.0010,0.0046,0.0928,0.0542,0.0158,0.1579,0.2632,0.5789,0.7325,-0.0851,-0.2516
pg41764-5,0.0128,0.2963,0.2664,0.0826,0.0345,0.0253,0.0358,0.0481,0.0295,0.0003,0.0070,0.0007,0.0023,0.0919,0.1317,0.0116,0.3636,0.0909,0.5455,0.6647,-0.0851,-0.2516
pg41764-4,0.0121,0.3365,0.2985,0.0651,0.0297,0.0277,0.0343,0.0527,0.0294,0.0005,0.0048,0.0000,0.0021,0.0923,0.1460,0.0122,0.0952,0.5238,0.3810,0.6383,-0.0851,-0.2516
pg2684Galsw4-9,0.0118,0.4907,0.1450,0.0574,0.0288,0.0298,0.0339,0.0638,0.0356,0.0043,0.0092,0.0095,0.0135,0.1207,-0.0244,0.0084,0.0968,0.2581,0.6452,0.7334,0.0233,-0.1521
pg41764-3,0.0146,0.3672,0.1856,0.0644,0.0331,0.0265,0.0370,0.0548,0.0315,0.0003,0.0048,0.0004,0.0032,0.0973,0.1104,0.0136,0.0952,0.0476,0.8571,0.6333,-0.0851,-0.2516
pg2684Galsw4-8,0.0218,0.3996,0.1737,0.0727,0.0269,0.0282,0.0387,0.0679,0.0359,0.0067,0.0086,0.0093,0.0178,0.1312,-0.0631,0.0161,0.2424,0.2121,0.5455,0.7888,0.0233,-0.1521
pg41764-2,0.0190,0.2908,0.2495,0.0700,0.0318,0.0287,0.0344,0.0579,0.0302,0.0006,0.0060,0.0006,0.0024,0.0995,0.1104,0.0177,0.1818,0.2727,0.5455,0.6718,-0.0851,-0.2516
pg41764-1,0.0139,0.2387,0.3197,0.0653,0.0273,0.0265,0.0332,0.0534,0.0289,0.0007,0.0081,0.0005,0.0019,0.0959,0.1535,0.0120,0.1053,0.1053,0.7895,0.6052,-0.0851,-0.2516
pg35233-1,0.0286,0.2832,0.1147,0.0748,0.0202,0.0205,0.0302,0.0612,0.0420,0.0043,0.0052,0.0140,0.0091,0.1149,-0.0635,0.0317,0.3125,0.1563,0.5313,0.6802,0.0073,0.3876
pg35233-2,0.0398,0.1155,0.2211,0.1042,0.0283,0.0194,0.0247,0.0553,0.0434,0.0025,0.0052,0.0184,0.0113,0.1061,-0.1034,0.0383,0.3438,0.2500,0.4063,0.7008,0.0073,0.3876
pg35233-3,0.0314,0.1775,0.1481,0.0912,0.0209,0.0194,0.0342,0.0502,0.0413,0.0019,0.0060,0.0224,0.0067,0.1147,-0.0520,0.0312,0.2500,0.2813,0.4688,0.6673,0.0073,0.3876
pg16720-9,0.0114,0.3491,0.2282,0.0671,0.0363,0.0306,0.0517,0.0604,0.0328,0.0003,0.0077,0.0040,0.0031,0.1241,0.0742,0.0096,0.0000,0.5455,0.4545,0.6941,-0.0097,-0.3499
pg16720-8,0.0142,0.3848,0.1510,0.0516,0.0378,0.0295,0.0509,0.0723,0.0247,0.0012,0.0076,0.0034,0.0033,0.1354,0.1842,0.0092,0.0870,0.2609,0.6522,0.6258,-0.0097,-0.3499
pg16720-7,0.0111,0.6210,0.0514,0.0590,0.0286,0.0344,0.0425,0.0576,0.0375,0.0001,0.0032,0.0043,0.0029,0.1077,0.0249,0.0070,0.1667,0.2083,0.6250,0.6850,-0.0097,-0.3499
pg16720-6,0.0145,0.5047,0.0300,0.0753,0.0214,0.0259,0.0324,0.0609,0.0456,0.0000,0.0016,0.0041,0.0039,0.0990,-0.0359,0.0137,0.3750,0.0417,0.5833,0.6748,-0.0097,-0.3499
pg16720-5,0.0147,0.3740,0.1358,0.0886,0.0285,0.0276,0.0300,0.0619,0.0462,0.0001,0.0010,0.0076,0.0071,0.1006,-0.0640,0.0167,0.3043,0.1739,0.5217,0.7209,-0.0097,-0.3499
pg16720-4,0.0163,0.3716,0.1060,0.0864,0.0296,0.0273,0.0285,0.0595,0.0447,0.0001,0.0020,0.0069,0.0089,0.0970,-0.0450,0.0178,0.0833,0.2500,0.6667,0.7094,-0.0097,-0.3499
pg14145-6,0.0160,0.2474,0.1878,0.1090,0.0252,0.0285,0.0310,0.0545,0.0605,0.0016,0.0055,0.0091,0.0095,0.1017,-0.1206,0.0147,0.5676,0.1351,0.2973,0.7891,0.0381,-0.6584
pg14145-5,0.0223,0.2162,0.1976,0.1133,0.0213,0.0261,0.0230,0.0487,0.0670,0.0013,0.0043,0.0104,0.0141,0.0877,-0.1422,0.0240,0.2432,0.1892,0.5676,0.8031,0.0381,-0.6584
pg14145-8,0.0162,0.3838,0.0826,0.0843,0.0246,0.0305,0.0310,0.0514,0.0608,0.0014,0.0025,0.0062,0.0136,0.0925,-0.1266,0.0151,0.3889,0.1944,0.4167,0.7484,0.0381,-0.6584
pg14145-7,0.0121,0.2323,0.0844,0.0755,0.0205,0.0321,0.0375,0.0499,0.0485,0.0012,0.0066,0.0072,0.0071,0.1024,-0.0596,0.0110,0.3784,0.0270,0.5946,0.6791,0.0381,-0.6584
pg14145-9,0.0146,0.2765,0.1509,0.0946,0.0280,0.0267,0.0290,0.0509,0.0563,0.0007,0.0045,0.0058,0.0084,0.0909,-0.1041,0.0171,0.3784,0.2432,0.3784,0.7971,0.0381,-0.6584
pg41332-11,0.0039,0.5448,0.0162,0.0485,0.0319,0.0295,0.0367,0.0819,0.0176,0.0011,0.0121,0.0151,0.0061,0.1469,0.2916,0.0078,0.2667,0.2667,0.4667,0.4377,0.0509,0.4640
pg41332-10,0.0065,0.4781,0.0193,0.0568,0.0208,0.0282,0.0401,0.0766,0.0176,0.0009,0.0107,0.0189,0.0118,0.1472,0.1505,0.0094,0.0000,0.1250,0.8750,0.5108,0.0509,0.4640
pg39813-7,0.0199,0.2511,0.1681,0.0752,0.0200,0.0281,0.0288,0.0696,0.0416,0.0001,0.0049,0.0000,0.0084,0.1034,-0.0377,0.0208,0.1724,0.3793,0.4483,0.7173,0.0084,0.1308
pg39813-6,0.0188,0.2890,0.1741,0.0893,0.0221,0.0271,0.0315,0.0573,0.0460,0.0002,0.0061,0.0001,0.0063,0.0952,-0.0540,0.0184,0.2500,0.3571,0.3929,0.7426,0.0084,0.1308
pg41332-16,0.0144,0.2581,0.0381,0.0470,0.0192,0.0252,0.0378,0.0788,0.0307,0.0025,0.0082,0.0161,0.0076,0.1434,0.0532,0.0126,0.0000,0.2941,0.7059,0.5528,0.0509,0.4640
pg39813-5,0.0176,0.3736,0.1660,0.0555,0.0240,0.0272,0.0337,0.0654,0.0360,0.0002,0.0060,0.0001,0.0111,0.1054,-0.0086,0.0090,0.3214,0.1786,0.5000,0.6805,0.0084,0.1308
pg39813-4,0.0189,0.3303,0.1859,0.0773,0.0217,0.0303,0.0267,0.0643,0.0379,0.0003,0.0058,0.0000,0.0109,0.0971,-0.0388,0.0161,0.3448,0.2069,0.4483,0.7603,0.0084,0.1308
pg39813-3,0.0187,0.2797,0.1359,0.0787,0.0214,0.0258,0.0341,0.0691,0.0392,0.0004,0.0050,0.0002,0.0136,0.1088,-0.0498,0.0197,0.5172,0.1034,0.3793,0.7419,0.0084,0.1308
pg41332-13,0.0088,0.3458,0.1462,0.0602,0.0335,0.0243,0.0363,0.0864,0.0186,0.0020,0.0086,0.0243,0.0060,0.1576,0.2151,0.0100,0.1250,0.2500,0.6250,0.4832,0.0509,0.4640
pg39813-2,0.0232,0.2021,0.1513,0.0681,0.0185,0.0254,0.0304,0.0756,0.0387,0.0001,0.0047,0.0000,0.0103,0.1108,-0.0342,0.0202,0.3929,0.1786,0.4286,0.7251,0.0084,0.1308
pg41332-12,0.0057,0.5273,0.0096,0.0490,0.0242,0.0298,0.0386,0.0801,0.0197,0.0014,0.0100,0.0139,0.0048,0.1440,0.2794,0.0086,0.0667,0.2667,0.6667,0.4539,0.0509,0.4640
pg39813-1,0.0200,0.2174,0.0807,0.0616,0.0189,0.0284,0.0266,0.0756,0.0326,0.0003,0.0056,0.0000,0.0109,0.1081,0.0216,0.0183,0.0690,0.2069,0.7241,0.6863,0.0084,0.1308
pg41332-15,0.0063,0.3920,0.0771,0.0629,0.0292,0.0279,0.0404,0.0753,0.0182,0.0013,0.0089,0.0216,0.0115,0.1475,0.1758,0.0085,0.1333,0.3333,0.5333,0.5162,0.0509,0.4640
pg41332-14,0.0088,0.2784,0.0710,0.0655,0.0261,0.0267,0.0412,0.0855,0.0188,0.0012,0.0097,0.0233,0.0098,0.1609,0.2094,0.0138,0.0667,0.2000,0.7333,0.5152,0.0509,0.4640
pg34849-1,0.0096,0.5849,0.0430,0.0525,0.0335,0.0277,0.0374,0.0769,0.0242,0.0028,0.0131,0.0027,0.0040,0.1329,0.2190,0.0068,0.2353,0.0588,0.7059,0.5139,-0.0894,0.0215
pg34849-3,0.0128,0.4458,0.0075,0.0672,0.0398,0.0280,0.0379,0.0756,0.0200,0.0025,0.0128,0.0021,0.0058,0.1309,0.2371,0.0127,0.0588,0.2941,0.6471,0.5070,-0.0894,0.0215
pg34849-2,0.0062,0.7142,0.0047,0.0701,0.0359,0.0310,0.0391,0.0739,0.0190,0.0027,0.0168,0.0011,0.0039,0.1336,0.3425,0.0062,0.0833,0.0833,0.8333,0.4521,-0.0894,0.0215
pg34849-5,0.0134,0.3547,0.1038,0.0734,0.0323,0.0273,0.0415,0.0600,0.0297,0.0040,0.0160,0.0034,0.0112,0.1249,0.0617,0.0160,0.0000,0.3750,0.6250,0.7353,-0.0894,0.0215
pg34849-4,0.0082,0.4068,0.0469,0.0604,0.0313,0.0300,0.0431,0.0694,0.0256,0.0041,0.0157,0.0009,0.0033,0.1332,0.2020,0.0089,0.0667,0.2667,0.6667,0.6129,-0.0894,0.0215
pg39813-9,0.0194,0.2561,0.2372,0.0780,0.0278,0.0292,0.0264,0.0601,0.0381,0.0001,0.0071,0.0000,0.0098,0.0937,-0.0160,0.0163,0.2759,0.3448,0.3793,0.7284,0.0084,0.1308
pg39813-8,0.0220,0.2035,0.3093,0.0876,0.0259,0.0281,0.0240,0.0584,0.0384,0.0005,0.0062,0.0003,0.0126,0.0894,-0.0422,0.0164,0.2069,0.1724,0.6207,0.7682,0.0084,0.1308
pg16720-3,0.0173,0.3134,0.0318,0.0852,0.0217,0.0239,0.0308,0.0604,0.0454,0.0000,0.0032,0.0054,0.0113,0.0998,-0.0751,0.0217,0.1667,0.2917,0.5417,0.7208,-0.0097,-0.3499
pg16720-2,0.0138,0.4515,0.0623,0.0786,0.0306,0.0254,0.0294,0.0609,0.0409,0.0000,0.0023,0.0035,0.0047,0.0961,-0.0212,0.0154,0.2500,0.2083,0.5417,0.6408,-0.0097,-0.3499
pg16720-1,0.0103,0.4353,0.0894,0.0554,0.0296,0.0263,0.0326,0.0604,0.0321,0.0001,0.0022,0.0055,0.0088,0.1008,0.0308,0.0112,0.1304,0.2174,0.6522,0.6411,-0.0097,-0.3499
pg48483-5,0.0239,0.1748,0.1282,0.1001,0.0263,0.0195,0.0342,0.0770,0.0369,0.0012,0.0105,0.0173,0.0068,0.1402,-0.0037,0.0149,0.2500,0.2083,0.5417,0.7366,-0.0915,-0.4653
pg48483-6,0.0190,0.1319,0.0080,0.0945,0.0298,0.0196,0.0346,0.0753,0.0364,0.0023,0.0083,0.0137,0.0035,0.1342,0.0326,0.0107,0.2500,0.2083,0.5417,0.6991,-0.0915,-0.4653
pg48483-7,0.0213,0.1799,0.0686,0.0968,0.0283,0.0238,0.0412,0.0754,0.0366,0.0028,0.0071,0.0187,0.0077,0.1451,0.0127,0.0118,0.2400,0.2000,0.5600,0.7711,-0.0915,-0.4653
pg48483-1,0.0198,0.1888,0.0763,0.1023,0.0301,0.0224,0.0373,0.0803,0.0410,0.0015,0.0064,0.0131,0.0048,0.1386,-0.0030,0.0109,0.3462,0.1154,0.5385,0.7581,-0.0915,-0.4653
pg48483-2,0.0176,0.1342,0.1645,0.1088,0.0298,0.0196,0.0359,0.0783,0.0411,0.0014,0.0083,0.0192,0.0061,0.1431,-0.0167,0.0093,0.2800,0.1600,0.5600,0.7523,-0.0915,-0.4653
pg48483-3,0.0184,0.0886,0.1376,0.1012,0.0274,0.0186,0.0378,0.0747,0.0369,0.0026,0.0091,0.0159,0.0047,0.1401,0.0159,0.0107,0.1923,0.1154,0.6923,0.7398,-0.0915,-0.4653
pg48483-4,0.0180,0.1813,0.1275,0.0934,0.0274,0.0227,0.0321,0.0782,0.0377,0.0010,0.0074,0.0172,0.0031,0.1359,0.0175,0.0074,0.3200,0.1600,0.5200,0.7176,-0.0915,-0.4653
pg35233-4,0.0318,0.2007,0.1801,0.0888,0.0228,0.0193,0.0311,0.0511,0.0437,0.0025,0.0098,0.0205,0.0124,0.1150,-0.0837,0.0291,0.2667,0.2333,0.5000,0.6785,0.0073,0.3876
pg35509-1,0.0134,0.2890,0.1549,0.0678,0.0239,0.0223,0.0261,0.0755,0.0422,0.0015,0.0039,0.0033,0.0031,0.1103,-0.0147,0.0111,0.3056,0.0833,0.6111,0.6573,-0.0511,0.4080
pg35233-5,0.0330,0.1694,0.2447,0.0978,0.0285,0.0207,0.0323,0.0484,0.0450,0.0028,0.0091,0.0205,0.0082,0.1131,-0.0891,0.0266,0.3871,0.3548,0.2581,0.6928,0.0073,0.3876
pg35233-6,0.0305,0.1771,0.0907,0.0917,0.0218,0.0198,0.0358,0.0494,0.0412,0.0026,0.0060,0.0225,0.0084,0.1163,-0.0606,0.0280,0.1379,0.2069,0.6552,0.7102,0.0073,0.3876
pg35509-3,0.0215,0.3189,0.2201,0.0773,0.0290,0.0211,0.0264,0.0739,0.0470,0.0017,0.0025,0.0027,0.0047,0.1072,-0.0635,0.0204,0.2857,0.2000,0.5143,0.7104,-0.0511,0.4080
pg35233-7,0.0294,0.2272,0.1243,0.0803,0.0227,0.0214,0.0320,0.0505,0.0366,0.0028,0.0069,0.0219,0.0066,0.1141,-0.0180,0.0274,0.1935,0.2258,0.5806,0.6460,0.0073,0.3876
pg35509-2,0.0104,0.4107,0.1150,0.0617,0.0279,0.0268,0.0269,0.0699,0.0383,0.0017,0.0037,0.0038,0.0027,0.1060,0.0208,0.0074,0.2121,0.1818,0.6061,0.6501,-0.0511,0.4080
